start hour,end hour,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23
44,67,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131
46,69,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531
48,71,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264
50,73,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008
52,75,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927
54,77,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678
56,79,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242
58,81,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646
60,83,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633
62,85,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654
